Num,LeetCode Problem,Topic,Video Explanation,Difficulty,,,,,
1,Contains Duplicate,Arrays & Hashing,https://www.youtube.com/watch?v=c_q_Pc2yg_0,Easy,,,,,
2,Valid Anagram,Arrays & Hashing,https://www.youtube.com/watch?v=qyQni3rz-ko,Easy,,,,,
3,Two Sum,Arrays & Hashing,https://www.youtube.com/watch?v=NP9nLwKzXGA,Easy,,,,,
4,Group Anagrams,Arrays & Hashing,https://www.youtube.com/watch?v=dEMcIpBOHpg,Medium,,,,,
5,Top K Frequent Elements,Arrays & Hashing,https://www.youtube.com/watch?v=QubWUx59QCk,Medium,,,,,
6,Product of Array Except Self,Arrays & Hashing,https://www.youtube.com/watch?v=UxmLwxH-lhM,Medium,,,,,
7,Valid Sudoku,Arrays & Hashing,https://www.youtube.com/watch?v=q2fl7lUkc8o,Medium,,,,,
8,Encode and Decode Strings,Arrays & Hashing,https://www.youtube.com/watch?v=P5LQbpI4p_I,Medium,,,,,
9,Longest Consecutive Sequence,Arrays & Hashing,https://www.youtube.com/watch?v=sJBf-JdWGhM,Medium,,,,,
10,Valid Palindrome,Two Pointers,https://www.youtube.com/watch?v=MFPmKyThyHk,Easy,,,,,
11,Two Sum II Input Array Is Sorted,Two Pointers,https://www.youtube.com/watch?v=c9ywRRJcP1Y,Medium,,,,,
12,3Sum,Two Pointers,https://www.youtube.com/watch?v=WtloSzFYvho,Medium,,,,,
13,Container With Most Water,Two Pointers,https://www.youtube.com/watch?v=wi8fqhNoV-Y,Medium,,,,,
14,Trapping Rain Water,Two Pointers,https://www.youtube.com/watch?v=AFl_VxaO_F0,Hard,,,,,
15,Best Time to Buy And Sell Stock,Sliding Window,https://www.youtube.com/watch?v=CCQBvgPages,Easy,,,,,
16,Longest Substring Without Repeating Characters,Sliding Window,https://www.youtube.com/watch?v=RMQ-gRQAY0o,Medium,,,,,
17,Longest Repeating Character Replacement,Sliding Window,https://www.youtube.com/watch?v=FYyWsqFjkZk,Medium,,,,,
18,Permutation In String,Sliding Window,https://www.youtube.com/watch?v=mIorIJvhl8E,Medium,,,,,
19,Minimum Window Substring,Sliding Window,https://www.youtube.com/watch?v=tMx5JZSBWIE,Hard,,,,,
20,Sliding Window Maximum,Sliding Window,https://www.youtube.com/watch?v=GIYk1wit12k,Hard,,,,,
21,Valid Parentheses,Stack,https://www.youtube.com/watch?v=D4l9TK0tWcI,Easy,,,,,
22,Min Stack,Stack,https://www.youtube.com/watch?v=To2iap-ac3g,Medium,,,,,
23,Evaluate Reverse Polish Notation,Stack,https://www.youtube.com/watch?v=vDRZN5i4b8U,Medium,,,,,
24,Generate Parentheses,Stack,https://www.youtube.com/watch?v=VzMyeCMLdPI,Medium,,,,,
25,Daily Temperatures,Stack,https://www.youtube.com/watch?v=jmuo4BBfl3I,Medium,,,,,
26,Car Fleet,Stack,https://www.youtube.com/watch?v=TPSiTAFhszA,Medium,,,,,
27,Largest Rectangle In Histogram,Stack,https://www.youtube.com/watch?v=IasMlShanvc,Hard,,,,,
28,Binary Search,Binary Search,https://www.youtube.com/watch?v=t3yPHFyKxr4,Easy,,,,,
29,Search a 2D Matrix,Binary Search,https://www.youtube.com/watch?v=dP4cb8zbohY,Medium,,,,,
30,Koko Eating Bananas,Binary Search,https://www.youtube.com/watch?v=3m3QZeiH3KI,Medium,,,,,
31,Find Minimum In Rotated Sorted Array,Binary Search,https://www.youtube.com/watch?v=Dr69TSfv9JI,Medium,,,,,
32,Search In Rotated Sorted Array,Binary Search,https://www.youtube.com/watch?v=sE_4DzVc71w,Medium,,,,,
33,Time Based Key Value Store,Binary Search,https://www.youtube.com/watch?v=u08L8DaDoOU,Medium,,,,,
34,Median of Two Sorted Arrays,Binary Search,https://www.youtube.com/watch?v=LRM4qiHLYCE,Hard,,,,,
35,Reverse Linked List,Linked List,https://www.youtube.com/watch?v=FHhItaCZ2pE,Easy,,,,,
36,Merge Two Sorted Lists,Linked List,https://www.youtube.com/watch?v=Bwymxn-n6XA,Easy,,,,,
37,Reorder List,Linked List,https://www.youtube.com/watch?v=lBdS4AV1EGw,Medium,,,,,
38,Remove Nth Node From End of List,Linked List,https://www.youtube.com/watch?v=hZtAW3cp8vQ,Medium,,,,,
39,Copy List With Random Pointer,Linked List,https://www.youtube.com/watch?v=vy7ZJ4TdyS8,Medium,,,,,
40,Add Two Numbers,Linked List,https://www.youtube.com/watch?v=MYtp__JpTns,Medium,,,,,
41,Linked List Cycle,Linked List,https://www.youtube.com/watch?v=k-gTqlOBT1g,Easy,,,,,
42,Find The Duplicate Number,Linked List,https://www.youtube.com/watch?v=Lu3if4xOA1s,Medium,,,,,
43,LRU Cache,Linked List,https://www.youtube.com/watch?v=VPq5dlxaeP8,Medium,,,,,
44,Merge K Sorted Lists,Linked List,https://www.youtube.com/watch?v=SlKgDtpJnxg,Hard,,,,,
45,Reverse Nodes In K Group,Linked List,https://www.youtube.com/watch?v=P9_K8M4nnf0,Hard,,,,,
46,Invert Binary Tree,Trees,https://www.youtube.com/watch?v=yb2Y9h2YWio,Easy,,,,,
47,Maximum Depth of Binary Tree,Trees,https://www.youtube.com/watch?v=IAMk9ZSpvjQ,Easy,,,,,
48,Diameter of Binary Tree,Trees,https://www.youtube.com/watch?v=DpyCkHMlxLc,Easy,,,,,
49,Balanced Binary Tree,Trees,https://www.youtube.com/watch?v=gu5rAEvm9Fk,Easy,,,,,
50,Same Tree,Trees,https://www.youtube.com/watch?v=yi7ym5R5aYI,Easy,,,,,
51,Subtree of Another Tree,Trees,https://www.youtube.com/watch?v=YOW_-ptARNE,Easy,,,,,
52,Lowest Common Ancestor of a Binary Search Tree,Trees,https://www.youtube.com/watch?v=1HUmPsyFb9U,Medium,,,,,
53,Binary Tree Level Order Traversal,Trees,https://www.youtube.com/watch?v=Oy3g4SEKNw0,Medium,,,,,
54,Binary Tree Right Side View,Trees,https://www.youtube.com/watch?v=4lMY-g0Afg8,Medium,,,,,
55,Count Good Nodes In Binary Tree,Trees,https://www.youtube.com/watch?v=AiCPoU8q2sU,Medium,,,,,
56,Validate Binary Search Tree,Trees,https://www.youtube.com/watch?v=QaCMLopSwWI,Medium,,,,,
57,Kth Smallest Element In a Bst,Trees,https://www.youtube.com/watch?v=tAUB05a6ys4,Medium,,,,,
58,Construct Binary Tree From Preorder And Inorder Traversal,Trees,https://www.youtube.com/watch?v=YYl2Tp-Wqcw,Medium,,,,,
59,Binary Tree Maximum Path Sum,Trees,https://www.youtube.com/watch?v=6wv9yMSenvQ,Hard,,,,,
60,Serialize And Deserialize Binary Tree,Trees,https://www.youtube.com/watch?v=vqbpTOU-LS4,Hard,,,,,
61,Implement Trie Prefix Tree,Tries,https://www.youtube.com/watch?v=nLTqtBLhPbQ,Medium,,,,,
62,Design Add And Search Words Data Structure,Tries,https://www.youtube.com/watch?v=Z7Kr2b4d9fE,Medium,,,,,
63,Word Search II,Tries,https://www.youtube.com/watch?v=8K2Sh9ingJA,Hard,,,,,
64,Kth Largest Element In a Stream,Heap / Priority Queue,https://www.youtube.com/watch?v=i7Mt70QERw4,Easy,,,,,
65,Last Stone Weight,Heap / Priority Queue,https://www.youtube.com/watch?v=xq4RoS0vVfM,Easy,,,,,
66,K Closest Points to Origin,Heap / Priority Queue,https://www.youtube.com/watch?v=RLyF_-4Izg0,Medium,,,,,
67,Kth Largest Element In An Array,Heap / Priority Queue,https://www.youtube.com/watch?v=kmUL7CAOSwc,Medium,,,,,
68,Task Scheduler,Heap / Priority Queue,https://www.youtube.com/watch?v=IcjlqToRGWI,Medium,,,,,
69,Design Twitter,Heap / Priority Queue,https://www.youtube.com/watch?v=esZ4vvjwW6E,Medium,,,,,
70,Find Median From Data Stream,Heap / Priority Queue,https://www.youtube.com/watch?v=IKpM6Q8wTIY,Hard,,,,,
71,Subsets,Backtracking,https://www.youtube.com/watch?v=OQKWzRJYtwg,Medium,,,,,
72,Combination Sum,Backtracking,https://www.youtube.com/watch?v=dJBbuDK4ZRk,Medium,,,,,
73,Permutations,Backtracking,https://www.youtube.com/watch?v=_tgwDDWuU-Q,Medium,,,,,
74,Subsets II,Backtracking,https://www.youtube.com/watch?v=GPigeECXWZE,Medium,,,,,
75,Combination Sum II,Backtracking,https://www.youtube.com/watch?v=I6f8Za0vRxE,Medium,,,,,
76,Word Search,Backtracking,https://www.youtube.com/watch?v=8K2Sh9ingJA,Medium,,,,,
77,Palindrome Partitioning,Backtracking,https://www.youtube.com/watch?v=NWe3W2bMVAU,Medium,,,,,
78,Letter Combinations of a Phone Number,Backtracking,https://www.youtube.com/watch?v=dmYiOfy8a-k,Medium,,,,,
79,N Queens,Backtracking,https://www.youtube.com/watch?v=MOrMPEq6P5w,Hard,,,,,
80,Number of Islands,Graphs,https://www.youtube.com/watch?v=H-2Nh2RXX6g,Medium,,,,,
81,Clone Graph,Graphs,https://www.youtube.com/watch?v=1aN0WWM0-Eo,Medium,,,,,
82,Max Area of Island,Graphs,https://www.youtube.com/watch?v=Dy-M-Suk8nk,Medium,,,,,
83,Pacific Atlantic Water Flow,Graphs,https://www.youtube.com/watch?v=fTohawuMcvY,Medium,,,,,
84,Surrounded Regions,Graphs,https://www.youtube.com/watch?v=yaBaE4fo6wA,Medium,,,,,
85,Rotting Oranges,Graphs,https://www.youtube.com/watch?v=1BlwbFfgk-E,Medium,,,,,
86,Walls And Gates,Graphs,https://www.youtube.com/watch?v=wYv60DTtsto,Medium,,,,,
87,Course Schedule,Graphs,https://www.youtube.com/watch?v=ge9WKEsVue0,Medium,,,,,
88,Course Schedule II,Graphs,https://www.youtube.com/watch?v=_RWV4hZdmdk,Medium,,,,,
89,Redundant Connection,Graphs,https://www.youtube.com/watch?v=ctMC5TPuVnM,Medium,,,,,
90,Number of Connected Components In An Undirected Graph,Graphs,https://www.youtube.com/watch?v=o8z2tHYrg_o,Medium,,,,,
91,Graph Valid Tree,Graphs,https://www.youtube.com/watch?v=WU3-vo0MJW0,Medium,,,,,
92,Word Ladder,Graphs,https://www.youtube.com/watch?v=isLTjdCw52s,Hard,,,,,
93,Reconstruct Itinerary,Advanced Graphs,https://www.youtube.com/watch?v=1_bfI1mi6mA,Hard,,,,,
94,Min Cost to Connect All Points,Advanced Graphs,https://www.youtube.com/watch?v=mvwrT2A4p60,Medium,,,,,
95,Network Delay Time,Advanced Graphs,https://www.youtube.com/watch?v=QKRRjz4KMuE,Medium,,,,,
96,Swim In Rising Water,Advanced Graphs,https://www.youtube.com/watch?v=WYHvHkh9kHQ,Hard,,,,,
97,Alien Dictionary,Advanced Graphs,https://www.youtube.com/watch?v=1QbsN5JyPto,Hard,,,,,
98,Cheapest Flights Within K Stops,Advanced Graphs,https://www.youtube.com/watch?v=AVsymWOY6fc,Medium,,,,,
99,Climbing Stairs,1-D Dynamic Programming,https://www.youtube.com/watch?v=5mWBnYrdO70,Easy,,,,,
100,Min Cost Climbing Stairs,1-D Dynamic Programming,https://www.youtube.com/watch?v=A3LYMRqAQeU,Easy,,,,,
101,House Robber,1-D Dynamic Programming,https://www.youtube.com/watch?v=jFmfYi_dvwQ,Medium,,,,,
102,House Robber II,1-D Dynamic Programming,https://www.youtube.com/watch?v=c_rwra1aITY,Medium,,,,,
103,Longest Palindromic Substring,1-D Dynamic Programming,https://www.youtube.com/watch?v=92KOT17h8zw,Medium,,,,,
104,Palindromic Substrings,1-D Dynamic Programming,https://www.youtube.com/watch?v=WfkVe8egZbU,Medium,,,,,
105,Decode Ways,1-D Dynamic Programming,https://www.youtube.com/watch?v=ayGRvdnjFKg,Medium,,,,,
106,Coin Change,1-D Dynamic Programming,https://www.youtube.com/watch?v=UOmlkfWMU6M,Medium,,,,,
107,Maximum Product Subarray,1-D Dynamic Programming,https://www.youtube.com/watch?v=OuRQ_TCCjsU,Medium,,,,,
108,Word Break,1-D Dynamic Programming,https://www.youtube.com/watch?v=XD9tXO9HW40,Medium,,,,,
109,Longest Increasing Subsequence,1-D Dynamic Programming,https://www.youtube.com/watch?v=cixz99yxgWA,Medium,,,,,
110,Partition Equal Subset Sum,1-D Dynamic Programming,https://www.youtube.com/watch?v=X50Rknzenus,Medium,,,,,
111,Unique Paths,2-D Dynamic Programming,https://www.youtube.com/watch?v=klWLMgdMWCY,Medium,,,,,
112,Longest Common Subsequence,2-D Dynamic Programming,https://www.youtube.com/watch?v=g9iNrsBR9BE,Medium,,,,,
113,Best Time to Buy And Sell Stock With Cooldown,2-D Dynamic Programming,https://www.youtube.com/watch?v=PH5jUN1cNHo,Medium,,,,,
114,Coin Change II,2-D Dynamic Programming,https://www.youtube.com/watch?v=khIBdTrRggk,Medium,,,,,
115,Target Sum,2-D Dynamic Programming,https://www.youtube.com/watch?v=9QqOX57nMAY,Medium,,,,,
116,Interleaving String,2-D Dynamic Programming,https://www.youtube.com/watch?v=KXIK863L9tk,Medium,,,,,
117,Longest Increasing Path In a Matrix,2-D Dynamic Programming,https://www.youtube.com/watch?v=gvwTGXP-reQ,Hard,,,,,
118,Distinct Subsequences,2-D Dynamic Programming,https://www.youtube.com/watch?v=A5IBp1ldlik,Hard,,,,,
119,Edit Distance,2-D Dynamic Programming,https://www.youtube.com/watch?v=fnWskW9xaw4,Medium,,,,,
120,Burst Balloons,2-D Dynamic Programming,https://www.youtube.com/watch?v=TfvN6rqDOT0,Hard,,,,,
121,Regular Expression Matching,2-D Dynamic Programming,https://www.youtube.com/watch?v=VFQddcCP46c,Hard,,,,,
122,Maximum Subarray,Greedy,https://www.youtube.com/watch?v=nr2djEYM7_A,Medium,,,,,
123,Jump Game,Greedy,https://www.youtube.com/watch?v=PVNLmjJaHW0,Medium,,,,,
124,Jump Game II,Greedy,https://www.youtube.com/watch?v=d_1GRnMg_zs,Medium,,,,,
125,Gas Station,Greedy,https://www.youtube.com/watch?v=ENDr9IfRMMw,Medium,,,,,
126,Hand of Straights,Greedy,https://www.youtube.com/watch?v=ISHUyNJVq_M,Medium,,,,,
127,Merge Triplets to Form Target Triplet,Greedy,https://www.youtube.com/watch?v=OVjB6kGr29g,Medium,,,,,
128,Partition Labels,Greedy,https://www.youtube.com/watch?v=TvWEYhHPO0w,Medium,,,,,
129,Valid Parenthesis String,Greedy,https://www.youtube.com/watch?v=h5YxPLC4lWs,Medium,,,,,
130,Insert Interval,Intervals,https://www.youtube.com/watch?v=16YiKk6ga7Y,Medium,,,,,
131,Merge Intervals,Intervals,https://www.youtube.com/watch?v=n3F2v9f8OfY,Medium,,,,,
132,Non Overlapping Intervals,Intervals,https://www.youtube.com/watch?v=y8nBFmPsAF8,Medium,,,,,
133,Meeting Rooms,Intervals,https://www.youtube.com/watch?v=5nqLIwo0oC0,Easy,,,,,
134,Meeting Rooms II,Intervals,https://www.youtube.com/watch?v=sQkgNfoPrDw,Medium,,,,,
135,Minimum Interval to Include Each Query,Intervals,https://www.youtube.com/watch?v=FZtDTYzVUhU,Hard,,,,,
136,Rotate Image,Math & Geometry,https://www.youtube.com/watch?v=dF1E3G9wBCw,Medium,,,,,
137,Spiral Matrix,Math & Geometry,https://www.youtube.com/watch?v=xUpnTpzMqfI,Medium,,,,,
138,Set Matrix Zeroes,Math & Geometry,https://www.youtube.com/watch?v=JwQvyZcwcP4,Medium,,,,,
139,Happy Number,Math & Geometry,https://www.youtube.com/watch?v=d5SvCvRmmww,Easy,,,,,
140,Plus One,Math & Geometry,https://www.youtube.com/watch?v=1KIcZqCXNHU,Easy,,,,,
141,"Pow(x, n)",Math & Geometry,https://www.youtube.com/watch?v=OUKFuUkb4p0,Medium,,,,,
142,Multiply Strings,Math & Geometry,https://www.youtube.com/watch?v=1Hftrgb30BQ,Medium,,,,,
143,Detect Squares,Math & Geometry,https://www.youtube.com/watch?v=1UooPSAHjfw,Medium,,,,,
144,Single Number,Bit Manipulation,https://www.youtube.com/watch?v=2LaOz13Y5qw,Easy,,,,,
145,Number of 1 Bits,Bit Manipulation,https://www.youtube.com/watch?v=xx9vN3n0_SA,Easy,,,,,
146,Counting Bits,Bit Manipulation,https://www.youtube.com/watch?v=f9vCuICgRpU,Easy,,,,,
147,Reverse Bits,Bit Manipulation,https://www.youtube.com/watch?v=-7bpRBMPXh8,Easy,,,,,
148,Missing Number,Bit Manipulation,https://www.youtube.com/watch?v=-pLW7935dlc,Easy,,,,,
149,Sum of Two Integers,Bit Manipulation,https://www.youtube.com/watch?v=oQqe3N2aSd4,Medium,,,,,
150,Reverse Integer,Bit Manipulation,https://www.youtube.com/watch?v=fZwClQfC3qU,Medium,,,,,
